configuration,problem,model,data_file,time,run,objective
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,122.825,MaxEff,-9516
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,125.878,MaxEff,-9644
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,150.648,MaxEff,-9646
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.39,MaxEff,-9048
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.505,MaxEff,-9809
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.628,MaxEff,-9917
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.744,MaxEff,-10678
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.867,MaxEff,-11419
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,4.986,MaxEff,-11624
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.115,MaxEff,-12365
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.265,MaxEff,-12377
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.416,MaxEff,-12440
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.55,MaxEff,-12466
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.728,MaxEff,-12478
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_9a_alloc1_MaxEffGini.dzn,5.93,MaxEff,-12897
